Tipo,Habitaciones,Ba�os,Area,Barrio,Valor
Apartamento,3,2,70,Zona Noroccidental,360000000
Casa,4,3,170,Castilla,670000000
Apartamento,3,3,144,Chico Reservado,1120000000
Apartamento,3,2,154,Usaquén,890000000
Apartamento,2,3,128,Bella Suiza,970000000
Apartamento,1,2,62,Bella Suiza,510000000
Apartamento,1,2,62,Bella Suiza,500000000
Apartamento,3,4,212,Bella Suiza,2350000000
Apartamento,3,2,159,El Chicó,850000000
Apartamento,2,2,80,Bella Suiza,642000000
Apartamento,2,2,80,Bella Suiza,652000000
Casa,3,2,59,Tintala,168000000
Apartamento,2,1,45,Tintala,205000000
Casa,3,3,147,Marly,300000000
Apartamento,4,3,98,Kennedy,680000000
Casa,3,4,300,Zona Noroccidental,2519000000
Apartamento,3,2,87,Nicolas De Federman,420000000
Apartamento,2,2,82,La Calleja,620000000
Apartamento,2,1,45,Zona Noroccidental,239000000
Casa,3,6,380,Zona Noroccidental,1600000000
Apartamento,1,2,50,Usaquén,420000000
Apartamento,3,2,89,Nicolas De Federman,625000000
Casa,3,5,365,Zona Noroccidental,2799000000
Casa,5,5,450,Zona Noroccidental,1450000000
Casa,4,5,315,Zona Noroccidental,2000000000
Apartamento,3,3,102,Mazuren,670000000
Casa,4,6,423,Zona Noroccidental,1800000000
Apartamento,3,2,75,Suba,469000000
Casa,5,2,200,Zona Noroccidental,580000000
Apartamento,3,2,67,Barrios Unidos,445000000
Apartamento,3,3,66,Usaquén,261500000
Apartamento,3,2,78,Zona Noroccidental,278000000
Apartamento,3,2,60,Engativa,258000000
Apartamento,3,3,87,Fontibón,520000000
Casa,3,2,75,Tintala,200000000
Apartamento,2,2,45,Zona Noroccidental,129000000
Apartamento,3,2,75,Villa Alsacia,350000000
Apartamento,32,2,63,Zona Noroccidental,290500000
Apartamento,3,2,130,Palermo,750000000
Apartamento,1,1,64,Chico Reservado,495000000
Casa,3,2,86,Zona Noroccidental,285000000
Apartamento,4,4,160,La Candelaria,900000000
Apartamento,4,4,294,Zona Noroccidental,1800000000
Apartamento,3,3,206,El Contador,990000000
Apartamento,3,3,103,El Batán,418000000
Apartamento,2,2,80,Usaquén,349000000
Apartamento,3,1,101,Santa Barbara,565000000
Apartamento,3,3,87,Mirandela ,370000000
Apartamento,3,2,78,Zona Noroccidental,259000000
Apartamento,3,2,68,Castilla,310000000
Apartamento,2,2,79,Cedritos,354000000
Apartamento,3,3,92,Mazuren,372000000
Apartamento,3,2,88,Zona Noroccidental,500000000
Apartamento,3,2,84,Fontibón,420000000
Apartamento,3,3,177,El Contador,1050000000
Apartamento,2,1,40,Kennedy,185000000
Apartamento,2,2,80,Usaquén,349000000
Apartamento,3,3,109,Colina Campestre,515000000
Apartamento,3,2,75,Zona Noroccidental,287000000
Apartamento,2,1,50,Colina Campestre,265000000
Apartamento,3,2,87,Fontibón,500000000
Apartamento,3,3,66,Usaquén,261500000
Apartamento,3,2,61,Hayuelos,300000000
Apartamento,3,2,78,Zona Noroccidental,278000000
Apartamento,3,2,60,Engativa,258000000
Apartamento,3,3,87,Fontibón,520000000
Apartamento,3,2,75,Villa Alsacia,350000000
Apartamento,32,2,63,Zona Noroccidental,290500000
Apartamento,2,2,45,Zona Noroccidental,129000000
Casa,3,2,75,Tintala,200000000
Apartamento,3,2,130,Palermo,750000000
Apartamento,3,3,103,El Batán,418000000
Apartamento,1,1,64,Chico Reservado,495000000
Apartamento,2,2,80,Usaquén,349000000
Apartamento,3,2,68,Castilla,310000000
Apartamento,3,1,101,Santa Barbara,565000000
Apartamento,3,3,87,Mirandela ,370000000
Apartamento,3,2,78,Zona Noroccidental,259000000
Apartamento,2,2,79,Cedritos,354000000
Casa,3,2,86,Zona Noroccidental,285000000
Apartamento,3,2,84,Fontibón,420000000
Apartamento,3,3,92,Mazuren,372000000
Apartamento,3,2,88,Zona Noroccidental,500000000
Apartamento,2,1,40,Kennedy,185000000
Apartamento,3,3,177,El Contador,1050000000
Apartamento,2,2,80,Usaquén,349000000
Apartamento,4,4,294,Zona Noroccidental,1800000000
Apartamento,4,4,160,La Candelaria,900000000
Apartamento,3,3,206,El Contador,990000000
Apartamento,2,2,60,Zona Noroccidental,225000000
Apartamento,3,1,44,Zona Noroccidental,148000000
Apartamento,2,2,53,Engativa,331500000
Apartamento,1,1,58,Zona Noroccidental,300000000
Apartamento,3,2,152,Usaquén,1030000000
Apartamento,2,1,40,Kennedy,195000000
Apartamento,2,1,40,Kennedy,200000000
Apartamento,3,1,48,Fontibón,168000000
Apartamento,3,2,68,Zona Noroccidental,323000000
Casa,3,2,86,Kennedy,275000000
Apartamento,3,3,114,Santa Barbara,510000000
Apartamento,2,1,44,Zona Noroccidental,176000000
Apartamento,3,2,100,Ciudad Salitre,680000000
Apartamento,3,2,100,Quinta Paredes,680000000
Apartamento,3,2,45,Hayuelos,217000000
Apartamento,3,5,178,Usaquén,1050000000
Casa,4,3,105,Usaquén,375000000
Apartamento,3,2,98,Cedritos,458000000
Oficina/Consultorio,4,2,200,Ciudad Salitre,2000000000
Apartamento,1,2,69,Santa Barbara,425000000
Apartamento,3,2,73,Zona Noroccidental,318000000
